,Places,latitude,longitude
0,Abbaye-Aux-Bois,48.7645271,2.2273718
1,Agen,44.2015827,0.6176112
2,Agenais,44.5751939,0.7915063003789178
3,Aiguebelle,45.53299255,6.303204954148526
4,Aix-En-Provence,43.5298424,5.4474738
5,Ajaccio,41.9263991,8.7376029
6,Albi,43.9277552,2.147899
7,Alençon,48.4312059,0.0911374
8,Alger,36.7753606,3.0601882
9,Algérie,28.0000272,2.9999825
10,Allemagne,51.0834196,10.4234469
11,Allier,46.36746405,3.163882848311948
12,Alpes,45.9081401,9.141582381412086
13,Alsace,48.24917645,7.4074699518555
14,Alsace-Lorraine,48.8718053,2.5737252
15,Ambert,45.5504338,3.742639
16,Amblainville,49.2028875,2.1208837
17,Amboise,47.4110351,0.983698
18,Ambronay,46.0055071,5.3602947
19,Amiens,49.8941708,2.2956951
20,Amérique,48.8824235,2.3940248685898715
21,Ancelle,44.6235694,6.2097914
22,Ancenis,47.3648141,-1.1816088
23,Angers,47.4739884,-0.5515588
24,Anglais,18.3307412,-74.1729227
25,Angleterre,52.5310214,-1.2649062
27,Angoumois,47.2248477,-1.5666526
28,Anjou,45.34936675,4.881682692602421
30,Antilles,18.77858115,-70.5427697709766
32,Aquitaine,44.24620635,-0.18399787392367906
33,Aragon,41.3787291,-0.7639373
34,Ardier,45.541657400000005,3.252535193845234
35,Argentens,43.9481982,0.1914003
36,Argos,37.6349825,22.7285119
38,Arles,43.6776223,4.6309653
39,Armagnac,43.5363268,1.0671435
40,Arno,7.081172,171.6562687
41,Arras,50.291048,2.7772211
42,Arsenal,51.5583839,-0.1074866
43,Artois,39.6196036,-122.1938726
45,Artémise,48.8071397,2.1122143
47,Aube,48.3201921,4.1905396615047525
48,Aubusson,48.7842759,-0.5521714
49,Audenarde,50.8433705,3.6041443
51,Aunis,48.988087699999994,1.9378922132660716
52,Auray,47.6664485,-2.9833718
54,Aurillac,44.9285441,2.4433101
56,Auvergne,45.71001315,3.1531802964975517
57,Auxerre,47.7961287,3.570579
58,Auxerrois,48.2571672,7.8481129
59,Avaray,47.7231524,1.564724
60,Aveyron,44.315857449999996,2.5065697302419823
61,Avignon,43.9492493,4.8059012
62,Avranches,48.6862085,-1.3579476
63,Açores,37.808527350000006,-25.473085286479595
65,Baluze,45.2693916,1.772847
66,Bar,48.4088704,7.4492808
69,Bas-Dauphiné,48.633771,7.7448665
70,Bas-Languedoc,47.532931,-68.5045098
71,Bas-Limousin,43.6478969,-0.4234748
72,Bas-Passy,45.9563382,6.6597678
73,Bas-Poitou,43.6478969,-0.4234748
74,Bas-Vivarais,48.2681382,7.4083783
75,Basse-Alsace,48.6620793,6.927283
76,Basse-Auvergne,46.3015777,6.5029246
77,Basse-Bretagne,47.5436072,0.317965
78,Basse-Normandie,48.953684499999994,-0.573365358805311
79,Batignolles,48.8863552,2.321457
80,Baugé,47.5422732,-0.1040831
81,Bavière,48.9467562,11.4038717
82,Bayonne,43.4933379,-1.475099
83,Beaucaire,43.8085436,4.6392648
84,Beaujeu,46.148552,4.5966558
85,Beaujolais,29.7859533,-90.7742391
86,Beauport,46.90711055,-71.21279691763314
87,Beauvais,49.4300997,2.0823355
89,Belle-Île,47.33393975,-3.1972907129026646
90,Bellelay,47.2632335,7.1667632
91,Bellevaux,46.2575,6.531944
92,Belleville,48.8176714,6.0982683
93,Bellevue,47.6144219,-122.192337
94,Berchtesgaden,47.63108,13.0021634
95,Berne,46.8382351,7.6004502
96,Berry,48.8439398,-78.31515205835606
97,Bessières,43.8002365,1.6076595
98,Bidache,43.4839874,-1.1408913
99,Bignan,47.8799364,-2.7718416
100,Bigorre,45.2057854,1.7989185
104,Blois,47.5876861,1.3337639
105,Bohême,45.6196378,1.6729555
106,Bollène,44.2803882,4.7484092
107,Bonnivet,46.2258007,0.4529486
109,Bordeaux,44.841225,-0.5800364
110,Bordeaux ,44.841225,-0.5800364
111,Bordelais,48.3775809,-0.463126
113,Boulogne-Sur-Mer,50.7259985,1.6118771
114,Bourbonnais,41.1639309,-87.8839693
115,Bourges,47.0814396,2.3986275
117,Bourgogne,47.27808725,4.222486304306048
118,Bourmont,48.2048736,5.599255000522501
119,Bouthillier,47.7967602,-64.9007413
120,Branche,47.0377217,-71.1744073
121,Bressuire,46.8425572,-0.4929017
122,Brest,48.3905283,-4.4860088
123,Bretagne,48.2640845,-2.9202408
124,Breuil,49.7373109,2.9552861
125,Briançonnais,44.960379849999995,6.544491155940593
126,Brie,49.6013889,3.4833333
127,Brion,45.2932249,5.3412008212373125
128,Brioude,45.293897,3.3853711
129,Bruges,44.8842379,-0.6111474
130,Brunswick,52.2646577,10.5236066
131,Brux,46.2358418,0.1930383
132,Burie,45.773995,-0.421175
133,Buzet,45.4078767,13.9655905
134,Byzance,59.9390963,30.3500378
135,Béarn,47.290408,-79.329529
136,Béarn ,47.290408,-79.329529
137,Bélier,6.90727445,-4.919434350510303
140,Bénévent,41.2476884,14.705941329939769
141,Béthune,50.5223438,2.6385601
145,Caderousse,44.1025641,4.7571511
146,Caen,49.1813403,-0.3635615
147,Cahors,44.4495,1.4364999
148,Calais,50.9524769,1.8538446
149,Calvados,49.09076485,-0.24139505722798021
150,Cambrai,50.1759602,3.2356613
151,Cambrésis,50.3248829,3.3668809
152,Canada,61.0666922,-107.991707
154,Carcassonne,43.2130358,2.3491069
155,Carentan,49.30329,-1.2463444
156,Carmes,43.5977639,1.4454502
158,Carpentras,44.0554043,5.0487681
159,Castelnau-De-Lévis,43.9382,2.08188
160,Castille,30.3682482,-91.0314916
161,Castres,49.8044444,3.2383333
162,Catalogne,41.8523094,1.5745043
163,Caulaincourt,49.8650001,3.1069444
