,Unamed,Places,latitude,longitude,Lieux
0,0,Abbaye-Aux-Bois,48.7645271,2.2273718,
1,1,Agen,44.2015827,0.6176112,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1887_04"" target=""_blank"">Étude sur l’histoire et l’organisation de la commune d’Agen jusqu’au traité de Brétigny</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1867_09"" target=""_blank"">Études sur l’architecture religieuse de l’Agenais du Xe au XVIe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1888_04"" target=""_blank"">Étude sur l’histoire et l’organisation de la commune d’Agen jusqu’au traité de Brétigny</a></i>"
2,2,Agenais,44.5751939,0.7915063003789178,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1867_09"" target=""_blank"">Études sur l’architecture religieuse de l’Agenais du Xe au XVIe siècle</a></i>"
3,3,Aiguebelle,45.53299255,6.303204954148526,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1963_06"" target=""_blank"">Recherches démographiques dans la châtellenie d’Aiguebelle d’après les comptes de subside de 1333 à 1450</a></i>"
4,4,Aix-En-Provence,43.5298424,5.4474738,
5,5,Ajaccio,41.9263991,8.7376029,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1960_14"" target=""_blank"">Étude sur l’histoire économique et sociale d’Ajaccio aux XVIe et XVIIe siècles</a></i>"
6,6,Albi,43.9277552,2.147899,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1969_14"" target=""_blank"">L’impôt direct à Albi de 1236 à 1450</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1892_10"" target=""_blank"">Étude sur Bernard de Castanet, évêque d’Albi et du Puy</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_2000_32"" target=""_blank"">La parole aux albigeois : le procès de Bernard de Castanet, évêque d’Albi (1307-1308). Introduction historique et édition.</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1898_13"" target=""_blank"">Essai sur le commun de paix ou pezade dans le Rouergue et dans l’Albigeois</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1977_04"" target=""_blank"">Castelnau-de-Lévis (Tarn). Une seigneurie de l’Albigeois du XIIIe au XVe siècle</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1921_01"" target=""_blank"">Les châteaux des vicomtés de Béziers, Albi et Carcassonne pendant la croisade albigeoise (21 juillet 1209-juin 1211)</a></i>"
7,7,Alençon,48.4312059,0.0911374,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1990_13"" target=""_blank"">Culture et société à Alençon, des Lumières à la Restauration (1750-1820)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1999_14"" target=""_blank"">Les châteaux de l’apanage d’Alençon (v. 1350-v. 1450)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1903_07"" target=""_blank"">François de Valois, duc d’Alençon et d’Anjou, les Malcontents, les Pays-Bas (1554-1584)</a></i>"
8,8,Alger,36.7753606,3.0601882,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1989_03"" target=""_blank"">Henri Queuille à Alger, ou la République en exil (août 1943-août 1944)</a></i><br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1977_10"" target=""_blank"">Le Maroc et ses relations avec la France de l’expédition d’Égypte à la prise d’Alger (1798-1830)</a></i>"
9,9,Algérie,28.0000272,2.9999825,"<br/><i>— <a href=""https://dev.chartes.psl.eu/theses/document/ENCPOS_1995_20"" target=""_blank"">Genèse d’une institution coloniale : les communes mixtes en Algérie (1868-1881)</a></i>"
