id_these;ID_hackathon_auteur;titre;nom_auteur;prenom_auteur;genre_auteur;annee_promo;sujet_date_min;sujet_date_max;url;id_hackaton;Places
ENCPOS_1849_01;h0134;Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du XIIe siècle;Bastard, De;Léon;male;1849;1903;1150;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_01;h0134;Vézelay
ENCPOS_1849_02;h0306;Marguilliers laïques des églises de Paris;Boisserand;Dominique-Claude;male;1849;1901;1789;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_02;h0306;Paris
ENCPOS_1849_04;h0842;Essai sur les revenus publics en Normandie au XIIe siècle;Delisle;Léopold;male;1849;1903;1199;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_04;h0842;Normandie
ENCPOS_1849_05;h1009;De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, XIIe et XIIIe siècles;Duplès-Agier;Henri;male;1849;1902;1299;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_05;h1009;France
ENCPOS_1849_06;h1370;De l’état civil et religieux des lépreux en France;Gossin;Léon;male;1849;1901;1789;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_06;h1370;France
ENCPOS_1849_11;h2805;De la négation dans les langues romanes du midi et du nord de la France;Schweighæuser;Alfred;male;1849;1901;1849;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_11;h2805;France
ENCPOS_1850_05;h2015;Des appellations en cour de Rome;Loyseau-Grandmaison;Pierre-Charles-Armand;male;1850;1901;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_05;h2015;Rome
ENCPOS_1850_07;h2955;De la nature du pouvoir royal en France sous les mérovingiens;Tranchant;Louis-Charles-Marie;male;1850;1901;751;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_07;h2955;France
ENCPOS_1851_01;h1876;Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge;Lecaron;Frédéric-Natalis;male;1851;1902;1499;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_01;h1876;Paris
ENCPOS_1851_02;h0402;Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271);Boutaric;Paul-Edgard;male;1851;1903;1271;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_02;h0402;Languedoc
ENCPOS_1851_02;h0402;Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271);Boutaric;Paul-Edgard;male;1851;1903;1271;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_02;h0402;États d'Alfonse
ENCPOS_1851_02;h0402;Organisation judiciaire du Languedoc, principalement dans les États d’Alfonse, comte de Poitiers et  de Toulouse (1249-1271);Boutaric;Paul-Edgard;male;1851;1903;1271;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_02;h0402;Toulouse
ENCPOS_1852_01;h1700;De la paroisse rurale en Bretagne au IXe siècle. Du prince de paroisse, machtyern ou princeps plebis.;La Borderie, De;Louis-Arthur;male;1852;1902;899;https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1852_01;h1700;Bretagne
