id_these,ID_hackathon_auteur,titre,nom_auteur,prenom_auteur,genre_auteur,annee_promo,sujet_date_min,sujet_date_max,url
ENCPOS_1849_01,h0134,"Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du XIIe siècle","Bastard, De",Léon,male,1849,1903,1150,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_01
ENCPOS_1849_02,h0306,Marguilliers laïques des églises de Paris,Boisserand,Dominique-Claude,male,1849,1901,1789,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_02
ENCPOS_1849_03,h0595,Hugues Capet dans l’histoire et le roman,Chatel,Eugène,male,1849,1902,1849,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_03
ENCPOS_1849_04,h0842,Essai sur les revenus publics en Normandie au XIIe siècle,Delisle,Léopold,male,1849,1903,1199,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_04
ENCPOS_1849_05,h1009,"De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, XIIe et XIIIe siècles",Duplès-Agier,Henri,male,1849,1902,1299,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_05
ENCPOS_1849_06,h1370,De l’état civil et religieux des lépreux en France,Gossin,Léon,male,1849,1901,1789,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_06
ENCPOS_1849_07,h1536,Le roman de l’Image du monde,Héron De Villefosse,Étienne,male,1849,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_07
ENCPOS_1849_08,h1549,Wala et Louis le Débonnaire,Himly,Auguste,male,1849,1902,840,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_08
ENCPOS_1849_09,h1590,Des armoiries,Huron,Édouard,male,1849,1903,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_09
ENCPOS_1849_10,h2124,"Examen des œuvres de Virgilius Maro, le grammairien",Marty-Laveaux,Charles,male,1849,1901,709,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_10
ENCPOS_1849_11,h2805,De la négation dans les langues romanes du midi et du nord de la France,Schweighæuser,Alfred,male,1849,1901,1849,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_11
ENCPOS_1849_12,h2883,Des comtes du palais,Tardif,Adolphe,male,1849,1901,877,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1849_12
ENCPOS_1850_01,h0729,Essai de dictionnaire des anciens peintres français pendant le Moyen Âge et la Renaissance,"Courde De Montaiglon, De",Anatole,male,1850,1901,1599,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_01
ENCPOS_1850_02,h1009,Des enquêteurs et des réformateurs sous la troisième race,Duplès-Agier,Théodore-Henri-Léon-Auguste,male,1850,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_02
ENCPOS_1850_03,h1249,Ordonnances de l’hôtel des rois de France ou de l’organisation intérieure de la maison des rois  aux XIIIe et XIVe siècles,Garnier,Édouard,male,1850,1903,1399,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_03
ENCPOS_1850_04,h1407,De la juridiction des archidiacres,Gréa,Marie-Étienne-Adrien,male,1850,1901,1789,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_04
ENCPOS_1850_05,h2015,Des appellations en cour de Rome,Loyseau-Grandmaison,Pierre-Charles-Armand,male,1850,1901,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_05
ENCPOS_1850_06,h2885,Des notes tironiennes,Tardif,Léon-Jules-Amédée,male,1850,1899,1700,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_06
ENCPOS_1850_07,h2955,De la nature du pouvoir royal en France sous les mérovingiens,Tranchant,Louis-Charles-Marie,male,1850,1901,751,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_07
ENCPOS_1850_12,h1645,Des réformes du droit civil demandées par le tiers ordre des états généraux de 1614 (1302-1614),Jolly,François-Eugène,male,1850,1903,1614,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_12
ENCPOS_1850_PREV,,,,,,,,,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1850_PREV
ENCPOS_1851_01,h1876,Essai sur le commerce par eau et la corporation des marchands hansés de la ville de Paris au Moyen Âge,Lecaron,Frédéric-Natalis,male,1851,1902,1499,https://dev.chartes.psl.eu/dts/document?id=ENCPOS_1851_01
