id_these,id_hackaton,Places
ENCPOS_1849_01,h0134,Vézelay
ENCPOS_1849_02,h0306,Paris
ENCPOS_1849_04,h0842,Normandie
ENCPOS_1849_05,h1009,France
ENCPOS_1849_06,h1370,France
ENCPOS_1849_11,h2805,la France
ENCPOS_1850_01,h0729,Moyen
ENCPOS_1850_01,h0729,Renaissance
ENCPOS_1850_03,h1249,Ordonnances
ENCPOS_1850_03,h1249,de France
ENCPOS_1850_03,h1249,XIVe siècles
ENCPOS_1850_05,h2015,Rome
ENCPOS_1850_07,h2955,France
ENCPOS_1851_01,h1876,Paris
ENCPOS_1851_01,h1876,Moyen
ENCPOS_1851_02,h0402,Languedoc
ENCPOS_1851_02,h0402,États d'Alfonse
ENCPOS_1851_02,h0402,Toulouse
ENCPOS_1851_03,h0586,Cornificiens
ENCPOS_1852_01,h1700,Bretagne
ENCPOS_1852_01,h1700,machtyern
ENCPOS_1852_02,h0070,Gaule
ENCPOS_1852_03,h2399,Gaules
ENCPOS_1852_05,h2026,Touraine
ENCPOS_1852_06,h0145,Laon
ENCPOS_1852_07,h2525,Narbonne
ENCPOS_1852_09,h1012,Châtelet de Paris
ENCPOS_1852_10,h0659,XIVe
ENCPOS_1853_01,h1248,la France
ENCPOS_1853_03,h0559,XIVe
ENCPOS_1853_04,h1408,Décrétales
ENCPOS_1854_01,h0373,Saint-Lazare
ENCPOS_1854_02,h0515,France
ENCPOS_1854_03,h0591,Auvergne
ENCPOS_1854_06,h1726,Angleterre
ENCPOS_1854_07,h2285,France
ENCPOS_1854_08,h2690,Aquitaine
ENCPOS_1854_09,h2822,la France
ENCPOS_1855_02,h0520,Essais
ENCPOS_1855_02,h0520,de Besançon
ENCPOS_1855_03,h0852,province ecclésiastique de
ENCPOS_1855_03,h0852,Xe
ENCPOS_1855_04,h1282,Moyen
ENCPOS_1855_05,h1544,Amiens
ENCPOS_1855_06,h1667,France
ENCPOS_1855_07,h2380,Rhône
ENCPOS_1855_08,h2713,France
ENCPOS_1855_08,h2713,XIIIe
ENCPOS_1855_08,h2713,XVIIe
